standardized_match,Total,modified_fora
Antonyan Eduard - Arutyunov Ruben,77.7,-3.7
Antonyan Eduard - Avakimyan Davit,73.6,-11.2
Antonyan Eduard - Darbinyan Armen,50.2,-16.2
Antonyan Eduard - Diaryan Aleksandr,70.8,9.4
Antonyan Eduard - Mkrtchyan Andranik,62.833333333333336,-9.5
Antonyan Eduard - Nazaryan Mushegh,65.7,-6.5
Antonyan Eduard - Nikoghosyan Narek,75.2,4.8
Antonyan Eduard - Papyan Karen,76.5,-3.9
Antonyan Eduard - Petrosyan Davit,61.285714285714285,-9.857142857142858
Antonyan Eduard - Rafayelyan Edgar,68.7,1.9
Antonyan Eduard - Soghomonyan Hrayr,79.1,-8.9
Arutyunov Ruben - Asatryan Murad,65.0,11.2
Arutyunov Ruben - Avakimyan Davit,57.4,-15.4
Arutyunov Ruben - Darbinyan Armen,52.666666666666664,-19.333333333333332
Arutyunov Ruben - Diaryan Aleksandr,65.1,13.1
Arutyunov Ruben - Gevorgyan Gegham,56.5,-12.9
Arutyunov Ruben - Gevorgyan Hayk,72.6,-7.2
Arutyunov Ruben - Grigoryan Erik,57.4,-17.0
Arutyunov Ruben - Hakobyan Eduard,71.9,-4.1
Arutyunov Ruben - Hovhannesyan Rafik,65.8,-7.2
Arutyunov Ruben - Karakhanyan Mher,57.6,-15.6
Arutyunov Ruben - Mkrtchyan Andranik,68.5,-7.1
Arutyunov Ruben - Nazaryan Mushegh,69.3,9.5
Arutyunov Ruben - Nikoghosyan Narek,73.0,7.0
Arutyunov Ruben - Papyan Karen,87.9,-4.9
Arutyunov Ruben - Petrosyan Davit,64.6,0.2
Arutyunov Ruben - Rafayelyan Edgar,61.9,12.5
Arutyunov Ruben - Soghomonyan Hrayr,70.9,-2.5
Asatryan Murad - Diaryan Aleksandr,63.0,-6.0
Asatryan Murad - Gevorgyan Hayk,50.5,-15.5
Asatryan Murad - Hovhannesyan Rafik,67.2,-14.0
Asatryan Murad - Nazaryan Mushegh,50.4,-16.0
Asatryan Murad - Nikoghosyan Narek,58.8,-12.0
Asatryan Murad - Papyan Karen,71.8,-3.6
Asatryan Murad - Rafayelyan Edgar,75.5,-2.7
Asatryan Murad - Soghomonyan Hrayr,57.5,-13.5
Avakimyan Davit - Babakhanyan Artak,53.0,-13.0
Avakimyan Davit - Darbinyan Armen,61.8,-14.2
Avakimyan Davit - Diaryan Aleksandr,46.833333333333336,19.166666666666668
Avakimyan Davit - Gevorgyan Gegham,73.3,1.7
Avakimyan Davit - Gevorgyan Hayk,66.9,6.7
Avakimyan Davit - Grigoryan Erik,65.6,-6.0
Avakimyan Davit - Hakobyan Eduard,56.6,13.8
Avakimyan Davit - Hakobyian Eduard,94.0,8.0
Avakimyan Davit - Karakhanyan Mher,68.3,-10.1
Avakimyan Davit - Miroyan Hakob,65.3,-10.9
Avakimyan Davit - Mkrtchyan Andranik,70.5,5.9
Avakimyan Davit - Nazaryan Mushegh,65.0,1.5
Avakimyan Davit - Nikoghosyan Narek,53.666666666666664,14.333333333333334
Avakimyan Davit - Papyan Karen,77.0,7.0
Avakimyan Davit - Petrosyan Davit,68.1,1.1
Avakimyan Davit - Soghomonyan Hrayr,61.4,6.0
Babakhanyan Artak - Darbinyan Armen,72.66666666666667,-4.0
Babakhanyan Artak - Gevorgyan Gegham,50.0,16.0
Babakhanyan Artak - Grigoryan Erik,68.0,10.0
Babakhanyan Artak - Karakhanyan Mher,74.5,2.5
Babakhanyan Artak - Miroyan Hakob,67.0,1.0
Babakhanyan Artak - Petrosyan Karen,65.5,-10.5
Babakhanyan Artak - Sahakyan Arman,68.0,6.0
Darbinyan Armen - Diaryan Aleksandr,53.0,13.0
Darbinyan Armen - Gevorgyan Gegham,46.7,19.3
Darbinyan Armen - Gevorgyan Hayk,52.1,17.1
Darbinyan Armen - Grigoryan Erik,60.7,11.3
Darbinyan Armen - Karakhanyan Mher,62.7,7.9
Darbinyan Armen - Miroyan Hakob,68.8,1.4
Darbinyan Armen - Mkrtchyan Andranik,53.7,14.5
Darbinyan Armen - Nazaryan Mushegh,52.25,14.25
Darbinyan Armen - Nikoghosyan Narek,58.4,12.0
Darbinyan Armen - Papyan Karen,58.714285714285715,11.857142857142858
Darbinyan Armen - Petrosyan Davit,57.3,16.1
Darbinyan Armen - Petrosyan Karen,67.0,-9.0
Darbinyan Armen - Sahakyan Arman,89.0,3.0
Darbinyan Armen - Soghomonyan Hrayr,65.7,13.1
Diaryan Aleksandr - Gevorgyan Hayk,60.0,-12.4
Diaryan Aleksandr - Hovhannesyan Rafik,58.4,-12.2
Diaryan Aleksandr - Mkrtchyan Andranik,52.4,-17.2
Diaryan Aleksandr - Nazaryan Mushegh,63.9,-13.3
Diaryan Aleksandr - Nikoghosyan Narek,72.4,-7.0
Diaryan Aleksandr - Papyan Karen,70.6,-4.8
Diaryan Aleksandr - Petrosyan Davit,56.0,-12.222222222222221
Diaryan Aleksandr - Rafayelyan Edgar,70.4,6.8
Diaryan Aleksandr - Soghomonyan Hrayr,59.6,-7.4
Gevorgyan Gegham - Gevorgyan Hayk,75.0,9.2
Gevorgyan Gegham - Grigoryan Erik,77.2,0.8
Gevorgyan Gegham - Hakobyan Eduard,81.6,6.0
Gevorgyan Gegham - Hakobyian Eduard,79.71428571428571,7.142857142857143
Gevorgyan Gegham - Karakhanyan Mher,67.9,-10.3
Gevorgyan Gegham - Miroyan Hakob,72.5,-6.5
Gevorgyan Gegham - Mkrtchyan Andranik,75.7,-0.3
Gevorgyan Gegham - Petrosyan Davit,69.3,9.3
Gevorgyan Gegham - Soghomonyan Hrayr,75.0,9.4
Gevorgyan Hayk - Grigoryan Erik,71.9,-6.9
Gevorgyan Hayk - Hakobyan Eduard,70.1,-3.3
Gevorgyan Hayk - Hakobyian Eduard,87.0,2.142857142857143
Gevorgyan Hayk - Hovhannesyan Rafik,70.2,6.8
Gevorgyan Hayk - Karakhanyan Mher,62.2,-13.2
Gevorgyan Hayk - Miroyan Hakob,59.8,-13.8
Gevorgyan Hayk - Mkrtchyan Andranik,69.9,-6.3
Gevorgyan Hayk - Nazaryan Mushegh,63.8,8.2
Gevorgyan Hayk - Nikoghosyan Narek,63.2,10.2
Gevorgyan Hayk - Papyan Karen,70.3,6.1
Gevorgyan Hayk - Petrosyan Davit,74.7,-5.5
Gevorgyan Hayk - Rafayelyan Edgar,55.2,13.0
Gevorgyan Hayk - Soghomonyan Hrayr,82.7,1.7
Grigoryan Erik - Karakhanyan Mher,71.4,-7.0
Grigoryan Erik - Miroyan Hakob,71.3,-5.3
Grigoryan Erik - Mkrtchyan Andranik,67.2,10.0
Grigoryan Erik - Petrosyan Davit,59.8,6.0
Grigoryan Erik - Soghomonyan Hrayr,65.9,11.3
Hakobyan Eduard - Mkrtchyan Andranik,73.1,-5.3
Hakobyan Eduard - Petrosyan Davit,79.3,9.5
Hakobyan Eduard - Soghomonyan Hrayr,66.3,9.5
Hakobyian Eduard - Mkrtchyan Andranik,79.6,-5.2
Hakobyian Eduard - Petrosyan Davit,67.0,-7.0
Hakobyian Eduard - Soghomonyan Hrayr,58.75,12.25
Hovhannesyan Rafik - Nazaryan Mushegh,60.0,-5.4
Hovhannesyan Rafik - Nikoghosyan Narek,65.6,5.0
Hovhannesyan Rafik - Papyan Karen,73.3,0.9
Hovhannesyan Rafik - Rafayelyan Edgar,66.8,10.6
Hovhannesyan Rafik - Soghomonyan Hrayr,86.3,-2.9
Karakhanyan Mher - Miroyan Hakob,67.6,-0.8
Karakhanyan Mher - Mkrtchyan Andranik,70.44444444444444,9.333333333333334
Karakhanyan Mher - Petrosyan Davit,57.9,12.1
Karakhanyan Mher - Petrosyan Karen,69.0,-13.0
Karakhanyan Mher - Soghomonyan Hrayr,55.0,14.333333333333334
Miroyan Hakob - Petrosyan Davit,55.0,11.0
Miroyan Hakob - Petrosyan Karen,85.0,-9.0
Miroyan Hakob - Sahakyan Arman,48.0,-18.0
Miroyan Hakob - Soghomonyan Hrayr,58.0,10.0
Mkrtchyan Andranik - Nazaryan Mushegh,66.5,7.9
Mkrtchyan Andranik - Nikoghosyan Narek,68.9,10.3
Mkrtchyan Andranik - Papyan Karen,73.0,4.6
Mkrtchyan Andranik - Petrosyan Davit,73.8,3.8
Mkrtchyan Andranik - Rafayelyan Edgar,59.6,12.0
Mkrtchyan Andranik - Soghomonyan Hrayr,71.4,0.6
Nazaryan Mushegh - Nikoghosyan Narek,62.1,2.1
Nazaryan Mushegh - Papyan Karen,69.1,0.9
Nazaryan Mushegh - Petrosyan Davit,62.25,-10.75
Nazaryan Mushegh - Rafayelyan Edgar,67.3,12.7
Nazaryan Mushegh - Soghomonyan Hrayr,65.3,-6.7
Nikoghosyan Narek - Papyan Karen,74.5,5.1
Nikoghosyan Narek - Petrosyan Davit,54.0,-13.555555555555555
Nikoghosyan Narek - Rafayelyan Edgar,67.3,8.5
Nikoghosyan Narek - Soghomonyan Hrayr,67.1,-9.5
Papyan Karen - Petrosyan Davit,61.0,-10.6
Papyan Karen - Rafayelyan Edgar,70.7,2.7
Papyan Karen - Soghomonyan Hrayr,71.1,-6.3
Petrosyan Davit - Soghomonyan Hrayr,72.7,0.3
Petrosyan Karen - Sahakyan Arman,48.0,18.0
Rafayelyan Edgar - Soghomonyan Hrayr,57.5,-11.9
Undefined - Undefined1,13.0,-9.0
